Date,9988.HK,BABA
2021-04-07,221.61270141601562,222.42994689941406
2021-04-08,222.6109619140625,225.21255493164062
2021-04-09,217.61968994140625,220.34793090820312
2021-04-12,231.79490661621094,240.7733612060547
2021-04-13,232.7931671142578,238.68148803710938
2021-04-14,237.38514709472656,236.0567626953125
2021-04-15,233.39212036132812,235.9186248779297
2021-04-16,235.18898010253906,235.52392578125
2021-04-19,231.5952606201172,231.66578674316406
2021-04-20,227.8018798828125,226.83079528808594
2021-04-21,221.41305541992188,226.39662170410156
2021-04-22,221.0137481689453,226.30783081054688
2021-04-23,224.00851440429688,229.00160217285156
2021-04-26,224.2081756591797,229.61338806152344
2021-04-27,226.00502014160156,232.79066467285156
2021-04-28,231.1959686279297,233.58006286621094
2021-04-29,230.99630737304688,231.07374572753906
2021-04-30,224.6074676513672,227.8865966796875
2021-05-03,223.40956115722656,227.6497802734375
2021-05-04,224.80711364746094,224.87704467773438
2021-05-05,219.61619567871094,223.77191162109375
2021-05-06,221.21340942382812,223.41668701171875
2021-05-07,219.4165496826172,222.3214111328125
2021-05-10,214.82456970214844,216.61807250976562
2021-05-11,207.2378387451172,218.44354248046875
2021-05-12,219.8158416748047,216.983154296875
2021-05-13,212.8280487060547,203.3464813232422
2021-05-14,204.24307250976562,206.73097229003906
2021-05-17,205.04165649414062,208.2505645751953
2021-05-18,207.2378387451172,210.88514709472656
2021-05-19,,209.7207794189453
2021-05-20,205.640625,214.1117706298828
2021-05-21,207.6371307373047,208.2604217529297
2021-05-24,204.64236450195312,207.64865112304688
2021-05-25,205.640625,208.32949829101562
2021-05-26,206.6388702392578,208.9708709716797
2021-05-27,208.43572998046875,209.91815185546875
2021-05-28,207.03817749023438,211.12196350097656
2021-05-31,210.63189697265625,
2021-06-01,217.8193359375,216.56874084472656
2021-06-02,214.0259552001953,216.67727661132812
2021-06-03,210.4322509765625,214.16110229492188
2021-06-04,209.83328247070312,216.11483764648438
2021-06-07,211.63015747070312,214.02294921875
2021-06-08,209.83328247070312,212.95729064941406
2021-06-09,207.6371307373047,210.49044799804688
2021-06-10,207.2378387451172,210.2437744140625
2021-06-11,204.84201049804688,208.83273315429688
2021-06-14,,211.1022186279297
2021-06-15,206.0399169921875,207.273681640625
2021-06-16,203.04515075683594,206.54351806640625
2021-06-17,203.4444580078125,208.79327392578125
2021-06-18,206.6388702392578,209.48397827148438
2021-06-21,205.04165649414062,208.2604217529297
2021-06-22,202.64585876464844,208.51698303222656
2021-06-23,206.83851623535156,212.01002502441406
2021-06-24,209.83328247070312,215.48333740234375
2021-06-25,215.223876953125,225.46910095214844
2021-06-28,221.61270141601562,225.55789184570312
2021-06-29,219.01724243164062,226.39662170410156
2021-06-30,219.61619567871094,223.77191162109375
2021-07-01,,218.92703247070312
2021-07-02,211.63015747070312,214.86167907714844
2021-07-05,205.640625,
2021-07-06,209.03468322753906,208.79327392578125
2021-07-07,205.4409637451172,205.2410125732422
2021-07-08,196.95579528808594,197.19912719726562
2021-07-09,195.158935546875,203.20834350585938
2021-07-12,197.0556182861328,202.7544403076172
2021-07-13,204.84201049804688,206.73097229003906
2021-07-14,206.0399169921875,208.69459533691406
2021-07-15,210.23260498046875,211.91134643554688
2021-07-16,209.03468322753906,209.28663635253906
2021-07-19,202.24655151367188,206.13894653320312
2021-07-20,202.44619750976562,207.79666137695312
2021-07-21,202.64585876464844,208.28016662597656
2021-07-22,207.03817749023438,211.20089721679688
2021-07-23,204.84201049804688,203.79051208496094
2021-07-26,191.76487731933594,189.21641540527344
2021-07-27,179.58615112304688,183.60191345214844
2021-07-28,182.88038635253906,193.41004943847656
2021-07-29,196.95579528808594,194.9197540283203
2021-07-30,188.67027282714844,192.60093688964844
2021-08-02,191.56521606445312,197.43592834472656
2021-08-03,193.1624298095703,194.7618865966797
2021-08-04,191.9645233154297,198.04771423339844
2021-08-05,192.16416931152344,196.6366729736328
2021-08-06,193.1624298095703,193.78501892089844
2021-08-09,188.3708038330078,192.66014099121094
2021-08-10,192.56346130371094,193.13375854492188
2021-08-11,190.86643981933594,192.2753143310547
2021-08-12,188.3708038330078,189.1177520751953
2021-08-13,183.6790008544922,186.11807250976562
2021-08-16,180.0852813720703,180.28646850585938
2021-08-17,171.5002899169922,171.4255828857422
2021-08-18,171.30064392089844,170.0638885498047
2021-08-19,161.8172149658203,158.42041015625
2021-08-20,157.62452697753906,155.86476135253906
